process_date,article_download_date,valid_to_date,currency,url,title,generator_id,estimator_id,horizon_days,start_index,end_index,actual_pct_change,actual_direction,realized,predicted_direction,predicted_magnitude,confidence,signal
2026-02-24,2026-02-24,2026-03-03,EUR,https://investinglive.com/news/investinglive-european-fx-news-wrap-jpy-down-as-takaichi-opposes-further-boj-rate-hikes-20260224/,investingLive European FX news wrap: JPY down as Takaichi opposes further BoJ rate hikes,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,7,100.0,100.0,0.0,neutral,False,bearish,small,0.75,0.30000000000000004
2026-02-24,2026-02-24,2026-02-25,EUR,https://investinglive.com/news/what-are-the-main-events-for-today-20260224/,What are the main events for today?,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,1,100.0,100.0,0.0,neutral,False,bearish,small,0.9,0.36000000000000004
2026-02-24,2026-02-24,2026-03-03,EUR,https://investinglive.com/news/investinglive-americas-fx-news-wrap-23-feb-usd-is-mixed-as-markets-react-to-tariff-news-20260223/,investingLive Americas FX news wrap 23 Feb: USD is mixed as markets react to tariff news,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,7,100.0,100.0,0.0,neutral,False,bearish,small,0.75,0.30000000000000004
2026-02-24,2026-02-24,2026-03-10,EUR,https://www.fxstreet.com/news/european-gas-weather-relief-but-new-risks-commerzbank-202602241506,European gas: Weather relief but new risks – Commerzbank,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,14,100.0,100.0,0.0,neutral,False,bearish,small,0.9,0.36000000000000004
2026-02-24,2026-02-24,2026-03-03,EUR,https://investinglive.com/news/investinglive-americas-fx-news-wrap-23-feb-usd-is-mixed-as-markets-react-to-tariff-news-20260223/,investingLive Americas FX news wrap 23 Feb: USD is mixed as markets react to tariff news,llm-sentiment-v1-haiku,llm-horizon-v1-default,7,100.0,100.0,0.0,neutral,False,bullish,medium,0.7,0.48999999999999994
2026-02-24,2026-02-24,2026-03-10,EUR,https://investinglive.com/news/european-parliament-postpones-vote-on-eu-us-trade-deal-report-20260223/,European Parliament postpones vote on EU-US trade deal - report,llm-sentiment-v1-haiku,llm-horizon-v1-default,14,100.0,100.0,0.0,neutral,False,bearish,medium,0.8,0.5599999999999999
2026-02-24,2026-02-24,2026-03-03,EUR,https://www.fxstreet.com/news/eur-usd-supreme-court-tariff-ruling-and-fed-speaker-lineup-drive-midweek-volatility-202602241600,EUR/USD: Supreme Court tariff ruling and Fed speaker lineup drive midweek volatility,llm-sentiment-v1-haiku,llm-horizon-v1-default,7,100.0,100.0,0.0,neutral,False,bullish,small,0.7,0.27999999999999997
2026-02-24,2026-02-24,2026-03-10,EUR,https://www.fxstreet.com/news/european-gas-weather-relief-but-new-risks-commerzbank-202602241506,European gas: Weather relief but new risks – Commerzbank,llm-sentiment-v1-haiku,llm-horizon-v1-default,14,100.0,100.0,0.0,neutral,False,bullish,small,0.7,0.27999999999999997
2026-02-24,2026-02-24,2026-03-03,USD,https://investinglive.com/news/investinglive-americas-market-news-wrap-us-consumer-confidence-bounces-from-11-year-low-20260224/,investingLive Americas market news wrap: US consumer confidence bounces from 11-year low,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,7,100.0,100.0,0.0,neutral,False,bullish,small,0.75,0.30000000000000004
2026-02-24,2026-02-24,2026-03-03,USD,https://investinglive.com/news/investinglive-asia-pacific-fx-news-wrap-tariff-uncertainty-persists-china-rises-20260224/,"investingLive Asia-Pacific FX news wrap: Tariff uncertainty persists, China rises",keyword-sentiment-v1.1-standard,llm-horizon-v1-default,7,100.0,100.0,0.0,neutral,False,bullish,medium,0.75,0.5249999999999999
2026-02-24,2026-02-24,2026-02-27,USD,https://www.fxstreet.com/news/forex-today-us-dollar-firms-after-trumps-tariff-ruling-and-hawkish-fed-stance-202602242033,Forex Today: US Dollar firms after Trump’s tariff ruling and hawkish Fed stance,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,3,100.0,100.0,0.0,neutral,False,bullish,medium,0.9,0.63
2026-02-24,2026-02-24,2026-02-25,USD,https://www.fxstreet.com/news/usd-chf-price-forecast-tests-20-day-sma-as-franc-outperforms-202602242013,USD/CHF Price Forecast: Tests 20-day SMA as Franc outperforms,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,1,100.0,100.0,0.0,neutral,False,bullish,small,0.9,0.36000000000000004
2026-02-24,2026-02-24,2026-02-27,USD,https://www.fxstreet.com/news/inr-cautious-relief-after-us-tariff-ruling-dbs-202602241943,INR: Cautious relief after US tariff ruling – DBS,keyword-sentiment-v1.1-standard,llm-horizon-v1-default,3,100.0,100.0,0.0,neutral,False,bullish,small,0.9,0.36000000000000004
2026-02-24,2026-02-24,2026-02-27,USD,https://www.fxstreet.com/news/gold-pulls-back-from-5-249-as-us-dollar-firms-on-fed-rhetoric-202602241900,"Gold pulls back from $5,249 as US Dollar firms on Fed rhetoric",keyword-sentiment-v1.1-standard,llm-horizon-v1-default,3,100.0,100.0,0.0,neutral,False,bearish,medium,0.9,0.63
